rangeID	name	rangeType	offsetX	offsetY	radX	radY	
906	骑兵向后防御	0	0	0	0	0	
1001	徐晃平射	6	0	0	0	0	
1002	徐晃抛射	0	0	0	0	0	
1003	徐晃快射	0	0	0	0	0	
1004	徐晃蓄力射击	0	0	0	0	0	
1005	徐晃劈砍	0	0	0	0	0	
1006	徐晃爆发	0	0	0	0	0	
1007	徐晃防御	0	0	0	0	0	
1101	张飞劈砍	0	0	0	0	0	
1102	张飞挑击	0	0	0	0	0	
1103	张飞突刺	0	0	0	0	0	
1104	张飞脚踢	1	0	0	0	0	
1105	张飞快攻	1	0	0	0	0	
1106	张飞爆发	0	0	0	0	0	
1107	张飞向前投掷	0	0	0	0	0	
1108	张飞防御	0	0	0	0	0	
1201	张梁劈砍	0	0	0	0	0	
1202	张梁快攻	0	0	0	0	0	
1203	张梁横扫1	0	0	0	0	0	
1204	张梁横扫2	0	0	0	0	0	
1205	张梁后劈砍	0	0	0	0	0	
1206	张梁挥舞	0	0	0	0	0	
1207	张梁爆发	0	0	0	0	0	
1208	张梁向前投掷	0	0	0	0	0	
1209	张梁向后投掷	0	0	0	0	0	
1210	张梁防御	0	0	0	0	0	
1211	张梁向后防御	0	0	0	0	0	
1301	甄姬平射	6	0	0	0	0	
1302	甄姬抛射	0	0	0	0	0	
1303	甄姬快射	0	0	0	0	0	
1304	甄姬蓄力射击	0	0	0	0	0	
1305	甄姬劈砍	0	0	0	0	0	
1306	甄姬爆发	0	0	0	0	0	
1307	甄姬防御	0	0	0	0	0	
10101	飞翔剑	5	18	18	3	0	
10102	0	0	0	0	0	0	
10103	0	0	0	0	0	0	
10104	0	0	0	0	0	0	
10105	0	0	0	0	0	0	
10106	0	0	0	0	0	0	
10107	0	0	0	0	0	0	
10108	0	0	0	0	0	0	
10109	0	0	0	0	0	0	
10201	千军破(赵云体现专用)	5	18	18	3	0	
10202	0	0	0	0	0	0	
10203	0	0	0	0	0	0	
10204	0	0	0	0	0	0	
10205	0	0	0	0	0	0	
10206	0	0	0	0	0	0	
10207	0	0	0	0	0	0	
10208	0	0	0	0	0	0	
10209	0	0	0	0	0	0	
10301	火牛阵	5	18	18	3	0	
10302	0	0	0	0	0	0	
10303	0	0	0	0	0	0	
10304	0	0	0	0	0	0	
10305	0	0	0	0	0	0	
10306	0	0	0	0	0	0	
10307	0	0	0	0	0	0	
10308	0	0	0	0	0	0	
10309	0	0	0	0	0	0	
10401	开山震	0	0	0	0	0	
10402	0	0	0	0	0	0	
10403	0	0	0	0	0	0	
10404	0	0	0	0	0	0	
10405	0	0	0	0	0	0	
10406	0	0	0	0	0	0	
10407	0	0	0	0	0	0	
10408	0	0	0	0	0	0	
10409	0	0	0	0	0	0	
10501	金刚甲	5	18	18	3	0	
10502	0	0	0	0	0	0	
10503	0	0	0	0	0	0	
10504	0	0	0	0	0	0	
10505	0	0	0	0	0	0	
10506	0	0	0	0	0	0	
10507	0	0	0	0	0	0	
10508	0	0	0	0	0	0	
10509	0	0	0	0	0	0	
10601	龙蛇斩	5	18	18	3	0	
10602	0	0	0	0	0	0	
10603	0	0	0	0	0	0	
10604	0	0	0	0	0	0	
10605	0	0	0	0	0	0	
10606	0	0	0	0	0	0	
10607	0	0	0	0	0	0	
10608	0	0	0	0	0	0	
10609	0	0	0	0	0	0	
10701	落日弓	7	0	0	0	0	
10702	0	0	0	0	0	0	
10703	0	0	0	0	0	0	
10704	0	0	0	0	0	0	
10705	0	0	0	0	0	0	
10706	0	0	0	0	0	0	
10707	0	0	0	0	0	0	
10708	0	0	0	0	0	0	
10709	0	0	0	0	0	0	
10801	火箭烈	5	18	18	3	0	
10802	0	0	0	0	0	0	
10803	0	0	0	0	0	0	
10804	0	0	0	0	0	0	
10805	0	0	0	0	0	0	
10806	0	0	0	0	0	0	
10807	0	0	0	0	0	0	
10808	0	0	0	0	0	0	
10809	0	0	0	0	0	0	
10901	连弩击	5	18	18	3	0	
10902	0	0	0	0	0	0	
10903	0	0	0	0	0	0	
10904	0	0	0	0	0	0	
10905	0	0	0	0	0	0	
10906	0	0	0	0	0	0	
10907	0	0	0	0	0	0	
10908	0	0	0	0	0	0	
10909	0	0	0	0	0	0	
11001	穿云箭	5	18	18	3	0	
11002	0	0	0	0	0	0	
11003	0	0	0	0	0	0	
11004	0	0	0	0	0	0	
11005	0	0	0	0	0	0	
11006	0	0	0	0	0	0	
11007	0	0	0	0	0	0	
11008	0	0	0	0	0	0	
11009	0	0	0	0	0	0	
11101	旋龙	5	18	18	3	0	
11102	0	0	0	0	0	0	
11103	0	0	0	0	0	0	
11104	0	0	0	0	0	0	
11105	0	0	0	0	0	0	
11106	0	0	0	0	0	0	
11107	0	0	0	0	0	0	
11108	0	0	0	0	0	0	
11109	0	0	0	0	0	0	
11201	流星坠地	2	0	0	0	0	
11202	0	0	0	0	0	0	
11203	0	0	0	0	0	0	
11204	0	0	0	0	0	0	
11205	0	0	0	0	0	0	
11206	0	0	0	0	0	0	
11207	0	0	0	0	0	0	
11208	0	0	0	0	0	0	
11209	0	0	0	0	0	0	
11301	铜仙技	5	18	18	3	0	
11302	0	0	0	0	0	0	
11303	0	0	0	0	0	0	
11304	0	0	0	0	0	0	
11305	0	0	0	0	0	0	
11306	0	0	0	0	0	0	
11307	0	0	0	0	0	0	
11308	0	0	0	0	0	0	
11309	0	0	0	0	0	0	
11401	伏兵	5	18	18	3	0	
11402	0	0	0	0	0	0	
11403	0	0	0	0	0	0	
11404	0	0	0	0	0	0	
11405	0	0	0	0	0	0	
11406	0	0	0	0	0	0	
11407	0	0	0	0	0	0	
11408	0	0	0	0	0	0	
11409	0	0	0	0	0	0	
11501	恐吓	5	18	18	3	0	
11502	0	0	0	0	0	0	
11503	0	0	0	0	0	0	
11504	0	0	0	0	0	0	
11505	0	0	0	0	0	0	
11506	0	0	0	0	0	0	
11507	0	0	0	0	0	0	
11508	0	0	0	0	0	0	
11509	0	0	0	0	0	0	
11601	奇袭	5	18	18	3	0	
11602	0	0	0	0	0	0	
11603	0	0	0	0	0	0	
11604	0	0	0	0	0	0	
11605	0	0	0	0	0	0	
11606	0	0	0	0	0	0	
11607	0	0	0	0	0	0	
11608	0	0	0	0	0	0	
11609	0	0	0	0	0	0	
11701	昂扬	5	18	18	3	0	
11702	0	0	0	0	0	0	
11703	0	0	0	0	0	0	
11704	0	0	0	0	0	0	
11705	0	0	0	0	0	0	
11706	0	0	0	0	0	0	
11707	0	0	0	0	0	0	
11708	0	0	0	0	0	0	
11709	0	0	0	0	0	0	
11801	奋战	5	18	18	3	0	
11802	0	0	0	0	0	0	
11803	0	0	0	0	0	0	
11804	0	0	0	0	0	0	
11805	0	0	0	0	0	0	
11806	0	0	0	0	0	0	
11807	0	0	0	0	0	0	
11808	0	0	0	0	0	0	
11809	0	0	0	0	0	0	
11901	冰柱刺	3	600	600	0	0	
11902	0	0	0	0	0	0	
11903	0	0	0	0	0	0	
11904	0	0	0	0	0	0	
11905	0	0	0	0	0	0	
11906	0	0	0	0	0	0	
11907	0	0	0	0	0	0	
11908	0	0	0	0	0	0	
11909	0	0	0	0	0	0	
12001	杀破狼	0	0	0	0	0	
12002	0	0	0	0	0	0	
12003	0	0	0	0	0	0	
12004	0	0	0	0	0	0	
12005	0	0	0	0	0	0	
12006	0	0	0	0	0	0	
12007	0	0	0	0	0	0	
12008	0	0	0	0	0	0	
12009	0	0	0	0	0	0	
12101	霸王枪	5	18	18	3	0	
12102	0	0	0	0	0	0	
12103	0	0	0	0	0	0	
12104	0	0	0	0	0	0	
12105	0	0	0	0	0	0	
12106	0	0	0	0	0	0	
12107	0	0	0	0	0	0	
12108	0	0	0	0	0	0	
12109	0	0	0	0	0	0	
20101	天下无双	5	18	18	3	0	
20102	0	0	0	0	0	0	
20103	0	0	0	0	0	0	
20104	0	0	0	0	0	0	
20105	0	0	0	0	0	0	
20106	0	0	0	0	0	0	
20107	0	0	0	0	0	0	
20108	0	0	0	0	0	0	
20109	0	0	0	0	0	0	
20201	鬼哭神嚎	5	18	18	3	0	
20202	0	0	0	0	0	0	
20203	0	0	0	0	0	0	
20204	0	0	0	0	0	0	
20205	0	0	0	0	0	0	
20206	0	0	0	0	0	0	
20207	0	0	0	0	0	0	
20208	0	0	0	0	0	0	
20209	0	0	0	0	0	0	
20301	神鬼乱舞	5	18	18	3	0	
20302	0	0	0	0	0	0	
20303	0	0	0	0	0	0	
20304	0	0	0	0	0	0	
20305	0	0	0	0	0	0	
20306	0	0	0	0	0	0	
20307	0	0	0	0	0	0	
20308	0	0	0	0	0	0	
20309	0	0	0	0	0	0	
20401	倾国倾城	5	18	18	3	0	
20402	0	0	0	0	0	0	
20403	0	0	0	0	0	0	
20404	0	0	0	0	0	0	
20405	0	0	0	0	0	0	
20406	0	0	0	0	0	0	
20407	0	0	0	0	0	0	
20408	0	0	0	0	0	0	
20409	0	0	0	0	0	0	
20501	乱世魔狱	5	18	18	3	0	
20502	0	0	0	0	0	0	
20503	0	0	0	0	0	0	
20504	0	0	0	0	0	0	
20505	0	0	0	0	0	0	
20506	0	0	0	0	0	0	
20507	0	0	0	0	0	0	
20508	0	0	0	0	0	0	
20509	0	0	0	0	0	0	
20601	钢爪银龙	5	18	18	3	0	
20602	0	0	0	0	0	0	
20603	0	0	0	0	0	0	
20604	0	0	0	0	0	0	
20605	0	0	0	0	0	0	
20606	0	0	0	0	0	0	
20607	0	0	0	0	0	0	
20608	0	0	0	0	0	0	
20609	0	0	0	0	0	0	
20701	饮血狂刀	5	18	18	3	0	
20702	0	0	0	0	0	0	
20703	0	0	0	0	0	0	
20704	0	0	0	0	0	0	
20705	0	0	0	0	0	0	
20706	0	0	0	0	0	0	
20707	0	0	0	0	0	0	
20708	0	0	0	0	0	0	
20709	0	0	0	0	0	0	
